Sample	Galbut Segment 1 (RdRp)	Galbut Segment 2	Galbut Segment 3	Chaq virus	Drosophila-associated Partitiviridae-like 2	Uncultured virus	Hubei diptera virus 18	La Jolla virus	Craigies Hill virus	Motts Mill virus	Nora virus	Thika virus	Human papillomavirus type 18
Water	0	0	0	0	0	0	0	0	0	0	0	0	0
HeLa	0	0	0	0	0	0	0	0	0	0	0	0	1530.912261
F10-17	16364.6	8559.68	17154.9	8923.73536	59429.4	64881.3	78715.3	423473.4197	0	0	355.1735467	26.638016	0
F10-18	72223.7	133062	101125	55272.27434	19.4621	0	38.9241	278268.6544	0	0	622.7861897	77.84827371	0
F1-17	34199	13960	34930.5	20848.57352	0	0	60.9607	439770.7876	0	0	0	0	0
F1-18	24517.8	13520.8	18929.2	0	93203.5	179917	108527	0	236704.525	120605.7328	0	0	0
F2-17	5597.8	9263.62	5275.8	7331.632527	65860.8	87682.4	78121.5	168949.5455	0	0	1362.296584	0	0
F2-18	1274.18	2924.82	1534.81	376.4624117	71585.8	122234	93912.9	550.214294	143258.427	532636.3952	0	0	0
F3-17	2790.35	5022.63	2790.35	4588.578161	0	186.023	124.016	497426.6758	0	0	121473.3056	0	0
F3-18	9766.88	5811.51	7424.59	5369.572423	140692	213126	231090	0	372511.3247	15423.71009	0	0	0
F4-17	81650.8	30581.9	98574.8	49584.32304	296.912	0	0	0	0	0	0	0	0
F4-18	1179.88	3003.33	1716.19	0	116057	214416	127749	0	122921.8063	113053.7381	0	0	0
F5-17	119263	151558	94051	106798.8669	0	0	0	0	0	0	0	0	0
F5-18	31659	54393.7	34886.2	41394.7283	180.291	342.552	72.1163	389409.7285	54.08718855	0	4831.788844	144.2325028	0
F6-17	48408.4	28038.9	34801.3	24987.62989	82.4674	82.4674	0	0	0	0	494.8045522	0	0
F6-18	16502.6	13808.6	14164.4	13503.66819	101.659	203.317	135.545	0	0	0	44374.03636	0	0
F7-17	45.8148	0	0	0	170294	188207	249233	137.4444495	0	0	229.0740826	229.0740826	0
F7-18	84425.5	50441.9	134867	62023.77324	457.178	609.57	761.963	71776.89729	0	0	914.3553795	0	0
F8-17	37684.6	18783.2	38669	25516.83402	0	78.7557	78.7557	338137.4286	0	0	157.5113211	0	0
F9-17	25231	11868.1	14903.1	13997.10092	181.192	407.683	226.49	515990.2156	0	0	33565.86338	0	0
F9-18	36656.6	32828.2	45334.2	30212.15505	127.612	95.709	95.709	500749.7208	0	0	1212.314564	1658.956771	0
M10-17	20453.6	12780.5	17403.7	18250.91376	266.26	338.876	653.547	304553.0463	0	0	3049.887445	435.6982064	0
M10-18	14552	18160	18160	5411.906194	129405	205773	173662	0	152375.2255	73241.13049	0	0	0
M1-17	9000.35	5935.26	6425.94	7770.279354	26.8868	26.8868	33.6085	453875.7293	0	0	934.315597	73.93864437	0
M1-18	25301.1	12650.6	27622.6	15914.13768	168.226	168.226	100.935	574456.6315	0	0	1110.288675	0	0
M2-17	18612.3	10506.1	18292.4	14239.24057	0	0	106.661	293424.3507	0	0	14985.86742	0	0
M2-18	25765.7	42079.4	22039.4	40852.49477	590.748	1317.82	1726.8	454.4215214	0	0	3635.372171	90.88430428	0
M3-17	6657.38	5221.48	5569.58	6352.797842	0	0	43.5123	87.02462797	0	0	0	87.02462797	0
M3-18	17802.6	10457.9	20946	14780.11183	16140.2	27867.6	19827.7	490705.7579	28683.69352	4654.677346	332.4769533	60.45035515	0
M4-17	40891.2	66926.5	37941.4	56402.65625	75526.5	87974.2	98462.4	236797.1043	0	0	292.1309887	42.75087639	0
M4-18	34024.2	14795.6	33275.8	17328.72769	36442.1	65227.4	56649.4	291709.8446	115774.3235	44329.3034	575.7052389	0	0
M5-17	43628.4	72492.9	40277.6	60263.30113	70757.9	61607	119727	389848.959	0	0	323.1732208	0	0
M6-17	16862.1	12157.3	14114.5	14622.57937	75.2771	94.0964	37.6386	371680.7498	0	0	10764.62728	169.3735062	0
M6-18	12527.8	8330.68	10111.3	9666.136725	38473.8	79364.1	48012.7	481844.1971	0	9602.54372	127.1860095	0	0
M7-17	16579.3	10783.2	12878.8	14218.4495	79.5809	39.7904	198.952	433158.6975	0	0	2413.95318	252.0061012	0
M8-17	50903.9	80354.7	42757.4	88398.16934	132277	152769	162677	423.3409611	0	0	2997.71167	68.64988558	0
M8-18	8756.68	8073.53	8756.68	4844.118743	62228.3	115451	88187.8	0	99739.16284	56763.13501	0	0	0
M9-17	46767.6	75239.6	43067	0	101195	120194	133294	224186.8038	0	0	1724.456944	103.6154387	0
M9-18	997.461	4352.56	1994.92	0	94305.4	121600	94305.4	0	363982.5898	158052.2307	0	0	0
